Field=#~Integer~#~50|Field=Description~String~Description~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LoRA_Transmitter.PrjPCB|ReportField=ProjectFullPath~E:\Projects\LoRA_Transimtter_Receiver\LoRATransmitter\LoRA_Transmitter.PrjPCB|ReportField=Title~Bill of Materials For Project [LoRA_Transmitter.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~10:22:52 AM|ReportField=ReportDate~3/22/2021|ReportField=ReportDateTime~3/22/2021 10:22:52 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~44|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~3/22/2021|ReportField=CurrentTime~10:20:32 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\Projects\LoRA_Transimtter_Receiver\LoRATransmitter\tr_auxiliary.SchDoc|ReportField=DocumentName~tr_auxiliary.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~3/21/2021|ReportField=Organization~|ReportField=ProjectName~LoRA_Transmitter.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~LoRA_Transmitter.PrjPCB|ReportField=DataSourceFullPath~E:\Projects\LoRA_Transimtter_Receiver\LoRATransmitter\LoRA_Transmitter.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|CAP, CERM, 2.2 µF, 16 V, +/- 10%, X6S, 0603|C1608X6S1C225K080AC|6|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC1608X6S1C225K080AC%26seller%3DDigi-Key%26sku%3D445-7438-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TDK{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC1608X6S1C225K080AC%26seller%3DDigi-Key%26sku%3D445-7438-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C1608X6S1C225K080AC{URL.TIP}Manufacturer|Digi-Key|USD|6|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC1608X6S1C225K080AC%26seller%3DDigi-Key%26sku%3D445-7438-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}445-7438-1-ND{URL.TIP}Supplier|4704|1.2|0.2
2|CAP, CERM, 22 µF, 35 V,+/- 20%, X5R, 1206|C3216X5R1V226M160AC|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC3216X5R1V226M160AC%26seller%3DDigi-Key%26sku%3D445-8045-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TDK{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC3216X5R1V226M160AC%26seller%3DDigi-Key%26sku%3D445-8045-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C3216X5R1V226M160AC{URL.TIP}Manufacturer|Digi-Key|USD|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC3216X5R1V226M160AC%26seller%3DDigi-Key%26sku%3D445-8045-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}445-8045-1-ND{URL.TIP}Supplier|409726|2.16|1.08
3|CAP ALUM 220UF 20% 160V RADIAL|UCS2C221MHD1TN|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNichicon%26mpn%3DUCS2C221MHD1TN%26seller%3DDigi-Key%26sku%3D493-13277-3-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Nichicon{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNichicon%26mpn%3DUCS2C221MHD1TN%26seller%3DDigi-Key%26sku%3D493-13277-3-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}UCS2C221MHD1TN{URL.TIP}Manufacturer|Digi-Key|USD||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNichicon%26mpn%3DUCS2C221MHD1TN%26seller%3DDigi-Key%26sku%3D493-13277-3-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}493-13277-3-ND{URL.TIP}Supplier|0||
4|CAP, CERM, 10 µF, 16 V, +/- 20%, X7R, 0805|EMK212BB7106MG-T|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTaiyo%2520Yuden%26mpn%3DEMK212BB7106MG-T%26seller%3DDigi-Key%26sku%3D587-3319-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Taiyo%20Yuden{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTaiyo%2520Yuden%26mpn%3DEMK212BB7106MG-T%26seller%3DDigi-Key%26sku%3D587-3319-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}EMK212BB7106MG-T{URL.TIP}Manufacturer|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTaiyo%2520Yuden%26mpn%3DEMK212BB7106MG-T%26seller%3DDigi-Key%26sku%3D587-3319-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}587-3319-1-ND{URL.TIP}Supplier|306716|0.46|0.46
5|CAP, CERM, 2.2 µF, 16 V, +/- 10%, X5R, 0805|0805YD225KAT2A|4|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKyocera%2520AVX%26mpn%3D0805YD225KAT2A%26seller%3DDigi-Key%26sku%3D478-2580-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Kyocera%20AVX{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKyocera%2520AVX%26mpn%3D0805YD225KAT2A%26seller%3DDigi-Key%26sku%3D478-2580-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}0805YD225KAT2A{URL.TIP}Manufacturer|Digi-Key|USD|4|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKyocera%2520AVX%26mpn%3D0805YD225KAT2A%26seller%3DDigi-Key%26sku%3D478-2580-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}478-2580-1-ND{URL.TIP}Supplier|26497|2.4|0.6
6|Diode Zener Single 5.1V 5% 500mW 2-Pin SOD-123 T/R|5.1V/0.5W zener|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DDiodes%26mpn%3DMMSZ5231B-7-F%26seller%3DDigi-Key%26sku%3DMMSZ5231B-FDIDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Diodes{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DDiodes%26mpn%3DMMSZ5231B-7-F%26seller%3DDigi-Key%26sku%3DMMSZ5231B-FDIDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}MMSZ5231B-7-F{URL.TIP}Manufacturer|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DDiodes%26mpn%3DMMSZ5231B-7-F%26seller%3DDigi-Key%26sku%3DMMSZ5231B-FDIDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}MMSZ5231B-FDIDKR-ND{URL.TIP}Supplier|494570|0.15|0.15
7|Machine Screw, Round, #4-40 x 1/4, Nylon, Philips panhead|NY PMS 440 0025 PH|4|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DB%2526F%2520Fastener%26mpn%3DNYPMS4400025PH%26seller%3DDigi-Key%26sku%3DH542-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}B%26F%20Fastener{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DB%2526F%2520Fastener%26mpn%3DNYPMS4400025PH%26seller%3DDigi-Key%26sku%3DH542-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}NYPMS4400025PH{URL.TIP}Manufacturer|Digi-Key|USD||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DB%2526F%2520Fastener%26mpn%3DNYPMS4400025PH%26seller%3DDigi-Key%26sku%3DH542-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}H542-ND{URL.TIP}Supplier|36900||
8|Standoff, Hex, 0.5"L #4-40 Nylon|1902C|4|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKeystone%2520Electronics%26mpn%3D1902C%26seller%3DDigi-Key%26sku%3D36-1902C-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Keystone%20Electronics{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKeystone%2520Electronics%26mpn%3D1902C%26seller%3DDigi-Key%26sku%3D36-1902C-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}1902C{URL.TIP}Manufacturer|Digi-Key|USD|4|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKeystone%2520Electronics%26mpn%3D1902C%26seller%3DDigi-Key%26sku%3D36-1902C-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}36-1902C-ND{URL.TIP}Supplier|25130|3.04|0.76
9|Conn Term Block, 2POS, 3.81mm, TH|1727010|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPhoenix%2520Contact%26mpn%3D1727010%26seller%3DDigi-Key%26sku%3D277-1947-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Phoenix%20Contact{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPhoenix%2520Contact%26mpn%3D1727010%26seller%3DDigi-Key%26sku%3D277-1947-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}1727010{URL.TIP}Manufacturer|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPhoenix%2520Contact%26mpn%3D1727010%26seller%3DDigi-Key%26sku%3D277-1947-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}277-1947-ND{URL.TIP}Supplier|15347|1.28|1.28
10|CONN HEADER SMD R/A 8POS 0.8MM|SM08B-SURS-TF(LF)(SN)|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DJST%26mpn%3DSM08B-SURS-TF%2528LF%2529%2528SN%2529%26seller%3DDigi-Key%26sku%3D455-2040-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}JST{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DJST%26mpn%3DSM08B-SURS-TF%2528LF%2529%2528SN%2529%26seller%3DDigi-Key%26sku%3D455-2040-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}SM08B-SURS-TF(LF)(SN){URL.TIP}Manufacturer|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DJST%26mpn%3DSM08B-SURS-TF%2528LF%2529%2528SN%2529%26seller%3DDigi-Key%26sku%3D455-2040-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}455-2040-6-ND{URL.TIP}Supplier|0|1.09|1.09
